count,datetime
111,2011-01-24 18:00:00
220,2011-01-30 11:00:00
145,2011-01-26 07:00:00
56,2011-01-22 09:00:00
50,2011-01-22 02:00:00
72,2011-01-23 01:00:00
80,2011-01-23 10:00:00
78,2011-01-23 08:00:00
68,2011-01-22 21:00:00
71,2011-01-23 00:00:00
202,2011-01-29 16:00:00
167,2011-01-28 03:00:00
106,2011-01-24 13:00:00
70,2011-01-22 23:00:00
51,2011-01-22 03:00:00
53,2011-01-22 06:00:00
23,2011-01-20 23:00:00
12,2011-01-20 12:00:00
4,2011-01-20 04:00:00
2,2011-01-20 02:00:00
1,2011-01-20 01:00:00
1,2011-01-20 01:00:00
7,2011-01-20 07:00:00
29,2011-01-21 05:00:00
83,2011-01-23 13:00:00
228,2011-01-30 19:00:00
150,2011-01-26 12:00:00
66,2011-01-22 19:00:00
89,2011-01-23 19:00:00
97,2011-01-24 04:00:00
87,2011-01-23 17:00:00
95,2011-01-24 01:00:00
106,2011-01-24 13:00:00
118,2011-01-25 01:00:00
228,2011-01-30 19:00:00
187,2011-01-29 00:00:00
107,2011-01-24 14:00:00
87,2011-01-23 17:00:00
70,2011-01-22 23:00:00
44,2011-01-21 20:00:00
46,2011-01-21 22:00:00
19,2011-01-20 19:00:00
25,2011-01-21 01:00:00
20,2011-01-20 20:00:00
2,2011-01-20 02:00:00
1,2011-01-20 01:00:00
3,2011-01-20 03:00:00
4,2011-01-20 04:00:00
15,2011-01-20 15:00:00
45,2011-01-21 21:00:00
63,2011-01-22 16:00:00
103,2011-01-24 10:00:00
159,2011-01-27 19:00:00
167,2011-01-28 03:00:00
190,2011-01-29 03:00:00
198,2011-01-29 12:00:00
205,2011-01-29 19:00:00
204,2011-01-29 18:00:00
164,2011-01-28 00:00:00
152,2011-01-26 14:00:00
89,2011-01-23 19:00:00
70,2011-01-22 23:00:00
72,2011-01-23 01:00:00
63,2011-01-22 16:00:00
44,2011-01-21 20:00:00
52,2011-01-22 04:00:00
39,2011-01-21 15:00:00
32,2011-01-21 08:00:00
11,2011-01-20 11:00:00
3,2011-01-20 03:00:00
2,2011-01-20 02:00:00
5,2011-01-20 05:00:00
9,2011-01-20 09:00:00
22,2011-01-20 22:00:00
31,2011-01-21 07:00:00
62,2011-01-22 15:00:00
79,2011-01-23 09:00:00
105,2011-01-24 12:00:00
39,2011-01-21 15:00:00
7,2011-01-20 07:00:00
11,2011-01-20 11:00:00
25,2011-01-21 01:00:00
23,2011-01-20 23:00:00
11,2011-01-20 11:00:00
11,2011-01-20 11:00:00
7,2011-01-20 07:00:00
10,2011-01-20 10:00:00
9,2011-01-20 09:00:00
4,2011-01-20 04:00:00
2,2011-01-20 02:00:00
1,2011-01-20 01:00:00
1,2011-01-20 01:00:00
1,2011-01-20 01:00:00
34,2011-01-21 10:00:00
91,2011-01-23 21:00:00
211,2011-01-30 01:00:00
134,2011-01-25 18:00:00
58,2011-01-22 11:00:00
60,2011-01-22 13:00:00
96,2011-01-24 03:00:00
70,2011-01-22 23:00:00
77,2011-01-23 07:00:00
96,2011-01-24 03:00:00
122,2011-01-25 06:00:00
233,2011-01-31 00:00:00
233,2011-01-31 00:00:00
145,2011-01-26 07:00:00
92,2011-01-23 22:00:00
54,2011-01-22 07:00:00
35,2011-01-21 11:00:00
22,2011-01-20 22:00:00
10,2011-01-20 10:00:00
4,2011-01-20 04:00:00
1,2011-01-20 01:00:00
7,2011-01-20 07:00:00
2,2011-01-20 02:00:00
10,2011-01-20 10:00:00
45,2011-01-21 21:00:00
128,2011-01-25 12:00:00
257,2011-02-20 00:00:00
151,2011-01-26 13:00:00
71,2011-01-23 00:00:00
78,2011-01-23 08:00:00
99,2011-01-24 06:00:00
98,2011-01-24 05:00:00
72,2011-01-23 01:00:00
112,2011-01-24 19:00:00
108,2011-01-24 15:00:00
248,2011-01-31 15:00:00
235,2011-01-31 02:00:00
150,2011-01-26 12:00:00
76,2011-01-23 06:00:00
75,2011-01-23 05:00:00
55,2011-01-22 08:00:00
41,2011-01-21 17:00:00
9,2011-01-20 09:00:00
4,2011-01-20 04:00:00
2,2011-01-20 02:00:00
3,2011-01-20 03:00:00
2,2011-01-20 02:00:00
8,2011-01-20 08:00:00
49,2011-01-22 01:00:00
141,2011-01-26 01:00:00
249,2011-01-31 16:00:00
141,2011-01-26 01:00:00
57,2011-01-22 10:00:00
59,2011-01-22 12:00:00
98,2011-01-24 05:00:00
99,2011-01-24 06:00:00
71,2011-01-23 00:00:00
79,2011-01-23 09:00:00
112,2011-01-24 19:00:00
194,2011-01-29 08:00:00
188,2011-01-29 01:00:00
134,2011-01-25 18:00:00
91,2011-01-23 21:00:00
62,2011-01-22 15:00:00
21,2011-01-20 21:00:00
18,2011-01-20 18:00:00
3,2011-01-20 03:00:00
2,2011-01-20 02:00:00
1,2011-01-20 01:00:00
3,2011-01-20 03:00:00
12,2011-01-20 12:00:00
37,2011-01-21 13:00:00
44,2011-01-21 20:00:00
24,2011-01-21 00:00:00
17,2011-01-20 17:00:00
11,2011-01-20 11:00:00
34,2011-01-21 10:00:00
12,2011-01-20 12:00:00
12,2011-01-20 12:00:00
14,2011-01-20 14:00:00
21,2011-01-20 21:00:00
111,2011-01-24 18:00:00
82,2011-01-23 12:00:00
56,2011-01-22 09:00:00
38,2011-01-21 14:00:00
28,2011-01-21 04:00:00
34,2011-01-21 10:00:00
27,2011-01-21 03:00:00
6,2011-01-20 06:00:00
8,2011-01-20 08:00:00
5,2011-01-20 05:00:00
2,2011-01-20 02:00:00
7,2011-01-20 07:00:00
32,2011-01-21 08:00:00
114,2011-01-24 21:00:00
259,2011-02-20 02:00:00
156,2011-01-27 16:00:00
78,2011-01-23 08:00:00
81,2011-01-23 11:00:00
111,2011-01-24 18:00:00
107,2011-01-24 14:00:00
89,2011-01-23 19:00:00
85,2011-01-23 15:00:00
113,2011-01-24 20:00:00
223,2011-01-30 14:00:00
153,2011-01-26 15:00:00
118,2011-01-25 01:00:00
76,2011-01-23 06:00:00
53,2011-01-22 06:00:00
64,2011-01-22 17:00:00
37,2011-01-21 13:00:00
34,2011-01-21 10:00:00
18,2011-01-20 18:00:00
14,2011-01-20 14:00:00
7,2011-01-20 07:00:00
1,2011-01-20 01:00:00
2,2011-01-20 02:00:00
4,2011-01-20 04:00:00
23,2011-01-20 23:00:00
53,2011-01-22 06:00:00
101,2011-01-24 08:00:00
99,2011-01-24 06:00:00
119,2011-01-25 02:00:00
158,2011-01-27 18:00:00
157,2011-01-27 17:00:00
166,2011-01-28 02:00:00
182,2011-01-28 19:00:00
244,2011-01-31 11:00:00
213,2011-01-30 03:00:00
145,2011-01-26 07:00:00
112,2011-01-24 19:00:00
86,2011-01-23 16:00:00
82,2011-01-23 12:00:00
63,2011-01-22 16:00:00
49,2011-01-22 01:00:00
38,2011-01-21 14:00:00
33,2011-01-21 09:00:00
23,2011-01-20 23:00:00
13,2011-01-20 13:00:00
3,2011-01-20 03:00:00
2,2011-01-20 02:00:00
10,2011-01-20 10:00:00
34,2011-01-21 10:00:00
44,2011-01-21 20:00:00
122,2011-01-25 06:00:00
181,2011-01-28 18:00:00
194,2011-01-29 08:00:00
221,2011-01-30 12:00:00
250,2011-01-31 17:00:00
304,2011-02-22 06:00:00
256,2011-01-31 23:00:00
241,2011-01-31 08:00:00
147,2011-01-26 09:00:00
101,2011-01-24 08:00:00
77,2011-01-23 07:00:00
58,2011-01-22 11:00:00
37,2011-01-21 13:00:00
28,2011-01-21 04:00:00
11,2011-01-20 11:00:00
1,2011-01-20 01:00:00
1,2011-01-20 01:00:00
3,2011-01-20 03:00:00
8,2011-01-20 08:00:00
28,2011-01-21 04:00:00
88,2011-01-23 18:00:00
241,2011-01-31 08:00:00
140,2011-01-26 00:00:00
84,2011-01-23 14:00:00
71,2011-01-23 00:00:00
94,2011-01-24 00:00:00
75,2011-01-23 05:00:00
79,2011-01-23 09:00:00
101,2011-01-24 08:00:00
107,2011-01-24 14:00:00
271,2011-02-20 15:00:00
235,2011-01-31 02:00:00
150,2011-01-26 12:00:00
129,2011-01-25 13:00:00
63,2011-01-22 16:00:00
47,2011-01-21 23:00:00
19,2011-01-20 19:00:00
14,2011-01-20 14:00:00
10,2011-01-20 10:00:00
3,2011-01-20 03:00:00
2,2011-01-20 02:00:00
11,2011-01-20 11:00:00
35,2011-01-21 11:00:00
119,2011-01-25 02:00:00
282,2011-02-21 02:00:00
157,2011-01-27 17:00:00
78,2011-01-23 08:00:00
78,2011-01-23 08:00:00
102,2011-01-24 09:00:00
97,2011-01-24 04:00:00
88,2011-01-23 18:00:00
90,2011-01-23 20:00:00
114,2011-01-24 21:00:00
217,2011-01-30 08:00:00
225,2011-01-30 16:00:00
152,2011-01-26 14:00:00
88,2011-01-23 18:00:00
55,2011-01-22 08:00:00
21,2011-01-20 21:00:00
18,2011-01-20 18:00:00
8,2011-01-20 08:00:00
3,2011-01-20 03:00:00
3,2011-01-20 03:00:00
1,2011-01-20 01:00:00
3,2011-01-20 03:00:00
31,2011-01-21 07:00:00
111,2011-01-24 18:00:00
253,2011-01-31 20:00:00
154,2011-01-26 16:00:00
68,2011-01-22 21:00:00
75,2011-01-23 05:00:00
88,2011-01-23 18:00:00
99,2011-01-24 06:00:00
100,2011-01-24 07:00:00
101,2011-01-24 08:00:00
151,2011-01-26 13:00:00
253,2011-01-31 20:00:00
237,2011-01-31 04:00:00
168,2011-01-28 05:00:00
121,2011-01-25 05:00:00
78,2011-01-23 08:00:00
59,2011-01-22 12:00:00
27,2011-01-21 03:00:00
23,2011-01-20 23:00:00
12,2011-01-20 12:00:00
8,2011-01-20 08:00:00
2,2011-01-20 02:00:00
3,2011-01-20 03:00:00
13,2011-01-20 13:00:00
51,2011-01-22 03:00:00
140,2011-01-26 00:00:00
299,2011-02-21 19:00:00
185,2011-01-28 22:00:00
78,2011-01-23 08:00:00
86,2011-01-23 16:00:00
105,2011-01-24 12:00:00
111,2011-01-24 18:00:00
119,2011-01-25 02:00:00
125,2011-01-25 09:00:00
142,2011-01-26 02:00:00
313,2011-02-22 15:00:00
310,2011-02-22 12:00:00
207,2011-01-29 21:00:00
137,2011-01-25 21:00:00
138,2011-01-25 22:00:00
87,2011-01-23 17:00:00
50,2011-01-22 02:00:00
29,2011-01-21 05:00:00
16,2011-01-20 16:00:00
14,2011-01-20 14:00:00
5,2011-01-20 05:00:00
10,2011-01-20 10:00:00
36,2011-01-21 12:00:00
123,2011-01-25 07:00:00
280,2011-02-21 00:00:00
210,2011-01-30 00:00:00
117,2011-01-25 00:00:00
159,2011-01-27 19:00:00
195,2011-01-29 09:00:00
175,2011-01-28 12:00:00
174,2011-01-28 11:00:00
173,2011-01-28 10:00:00
204,2011-01-29 18:00:00
332,2011-02-23 11:00:00
331,2011-02-23 10:00:00
190,2011-01-29 03:00:00
149,2011-01-26 11:00:00
113,2011-01-24 20:00:00
118,2011-01-25 01:00:00
86,2011-01-23 16:00:00
76,2011-01-23 06:00:00
51,2011-01-22 03:00:00
25,2011-01-21 01:00:00
8,2011-01-20 08:00:00
3,2011-01-20 03:00:00
2,2011-01-20 02:00:00
10,2011-01-20 10:00:00
13,2011-01-20 13:00:00
48,2011-01-22 00:00:00
76,2011-01-23 06:00:00
140,2011-01-26 00:00:00
196,2011-01-29 10:00:00
267,2011-02-20 11:00:00
301,2011-02-21 21:00:00
312,2011-02-22 14:00:00
313,2011-02-22 15:00:00
304,2011-02-22 06:00:00
278,2011-02-20 22:00:00
217,2011-01-30 08:00:00
154,2011-01-26 16:00:00
108,2011-01-24 15:00:00
93,2011-01-23 23:00:00
72,2011-01-23 01:00:00
50,2011-01-22 02:00:00
6,2011-01-20 06:00:00
4,2011-01-20 04:00:00
7,2011-01-20 07:00:00
4,2011-01-20 04:00:00
3,2011-01-20 03:00:00
12,2011-01-20 12:00:00
28,2011-01-21 04:00:00
95,2011-01-24 01:00:00
206,2011-01-29 20:00:00
173,2011-01-28 10:00:00
75,2011-01-23 05:00:00
89,2011-01-23 19:00:00
95,2011-01-24 01:00:00
110,2011-01-24 17:00:00
87,2011-01-23 17:00:00
111,2011-01-24 18:00:00
167,2011-01-28 03:00:00
281,2011-02-21 01:00:00
241,2011-01-31 08:00:00
136,2011-01-25 20:00:00
77,2011-01-23 07:00:00
93,2011-01-23 23:00:00
74,2011-01-23 03:00:00
53,2011-01-22 06:00:00
32,2011-01-21 08:00:00
32,2011-01-21 08:00:00
21,2011-01-20 21:00:00
9,2011-01-20 09:00:00
5,2011-01-20 05:00:00
5,2011-01-20 05:00:00
12,2011-01-20 12:00:00
18,2011-01-20 18:00:00
55,2011-01-22 08:00:00
87,2011-01-23 17:00:00
154,2011-01-26 16:00:00
198,2011-01-29 12:00:00
184,2011-01-28 21:00:00
137,2011-01-25 21:00:00
190,2011-01-29 03:00:00
136,2011-01-25 20:00:00
196,2011-01-29 10:00:00
184,2011-01-28 21:00:00
179,2011-01-28 16:00:00
148,2011-01-26 10:00:00
85,2011-01-23 15:00:00
77,2011-01-23 07:00:00
55,2011-01-22 08:00:00
53,2011-01-22 06:00:00
39,2011-01-21 15:00:00
34,2011-01-21 10:00:00
24,2011-01-21 00:00:00
11,2011-01-20 11:00:00
3,2011-01-20 03:00:00
5,2011-01-20 05:00:00
33,2011-01-21 09:00:00
33,2011-01-21 09:00:00
62,2011-01-22 15:00:00
142,2011-01-26 02:00:00
215,2011-01-30 05:00:00
243,2011-01-31 10:00:00
313,2011-02-22 15:00:00
367,2011-02-24 23:00:00
349,2011-02-24 05:00:00
292,2011-02-21 12:00:00
303,2011-02-21 23:00:00
274,2011-02-20 18:00:00
172,2011-01-28 09:00:00
144,2011-01-26 06:00:00
79,2011-01-23 09:00:00
45,2011-01-21 21:00:00
36,2011-01-21 12:00:00
31,2011-01-21 07:00:00
6,2011-01-20 06:00:00
11,2011-01-20 11:00:00
2,2011-01-20 02:00:00
1,2011-01-20 01:00:00
2,2011-01-20 02:00:00
7,2011-01-20 07:00:00
46,2011-01-21 22:00:00
157,2011-01-27 17:00:00
339,2011-02-23 18:00:00
158,2011-01-27 18:00:00
90,2011-01-23 20:00:00
124,2011-01-25 08:00:00
157,2011-01-27 17:00:00
139,2011-01-25 23:00:00
123,2011-01-25 07:00:00
143,2011-01-26 05:00:00
189,2011-01-29 02:00:00
366,2011-02-24 22:00:00
386,2011-02-25 19:00:00
278,2011-02-20 22:00:00
173,2011-01-28 10:00:00
95,2011-01-24 01:00:00
75,2011-01-23 05:00:00
48,2011-01-22 00:00:00
22,2011-01-20 22:00:00
15,2011-01-20 15:00:00
5,2011-01-20 05:00:00
4,2011-01-20 04:00:00
2,2011-01-20 02:00:00
5,2011-01-20 05:00:00
38,2011-01-21 14:00:00
134,2011-01-25 18:00:00
157,2011-01-27 17:00:00
46,2011-01-21 22:00:00
28,2011-01-21 04:00:00
19,2011-01-20 19:00:00
38,2011-01-21 14:00:00
56,2011-01-22 09:00:00
76,2011-01-23 06:00:00
68,2011-01-22 21:00:00
130,2011-01-25 14:00:00
273,2011-02-20 17:00:00
267,2011-02-20 11:00:00
160,2011-01-27 20:00:00
91,2011-01-23 21:00:00
89,2011-01-23 19:00:00
46,2011-01-21 22:00:00
26,2011-01-21 02:00:00
15,2011-01-20 15:00:00
2,2011-01-20 02:00:00
5,2011-01-20 05:00:00
4,2011-01-20 04:00:00
1,2011-01-20 01:00:00
13,2011-01-20 13:00:00
56,2011-01-22 09:00:00
133,2011-01-25 17:00:00
325,2011-02-23 03:00:00
165,2011-01-28 01:00:00
69,2011-01-22 22:00:00
93,2011-01-23 23:00:00
134,2011-01-25 18:00:00
112,2011-01-24 19:00:00
115,2011-01-24 22:00:00
117,2011-01-25 00:00:00
169,2011-01-28 06:00:00
356,2011-02-24 12:00:00
325,2011-02-23 03:00:00
232,2011-01-30 23:00:00
141,2011-01-26 01:00:00
102,2011-01-24 09:00:00
84,2011-01-23 14:00:00
40,2011-01-21 16:00:00
20,2011-01-20 20:00:00
13,2011-01-20 13:00:00
7,2011-01-20 07:00:00
3,2011-01-20 03:00:00
1,2011-01-20 01:00:00
6,2011-01-20 06:00:00
64,2011-01-22 17:00:00
160,2011-01-27 20:00:00
314,2011-02-22 16:00:00
170,2011-01-28 07:00:00
95,2011-01-24 01:00:00
122,2011-01-25 06:00:00
153,2011-01-26 15:00:00
135,2011-01-25 19:00:00
157,2011-01-27 17:00:00
160,2011-01-27 20:00:00
213,2011-01-30 03:00:00
343,2011-02-23 22:00:00
333,2011-02-23 12:00:00
226,2011-01-30 17:00:00
203,2011-01-29 17:00:00
108,2011-01-24 15:00:00
81,2011-01-23 11:00:00
54,2011-01-22 07:00:00
25,2011-01-21 01:00:00
9,2011-01-20 09:00:00
13,2011-01-20 13:00:00
1,2011-01-20 01:00:00
1,2011-01-20 01:00:00
9,2011-01-20 09:00:00
35,2011-01-21 11:00:00
113,2011-01-24 20:00:00
221,2011-01-30 12:00:00
185,2011-01-28 22:00:00
73,2011-01-23 02:00:00
98,2011-01-24 05:00:00
80,2011-01-23 10:00:00
42,2011-01-21 18:00:00
15,2011-01-20 15:00:00
25,2011-01-21 01:00:00
60,2011-01-22 13:00:00
148,2011-01-26 10:00:00
62,2011-01-22 15:00:00
53,2011-01-22 06:00:00
63,2011-01-22 16:00:00
54,2011-01-22 07:00:00
51,2011-01-22 03:00:00
35,2011-01-21 11:00:00
31,2011-01-21 07:00:00
20,2011-01-20 20:00:00
17,2011-01-20 17:00:00
14,2011-01-20 14:00:00
3,2011-01-20 03:00:00
5,2011-01-20 05:00:00
13,2011-01-20 13:00:00
21,2011-01-20 21:00:00
54,2011-01-22 07:00:00
98,2011-01-24 05:00:00
133,2011-01-25 17:00:00
142,2011-01-26 02:00:00
202,2011-01-29 16:00:00
222,2011-01-30 13:00:00
212,2011-01-30 02:00:00
201,2011-01-29 15:00:00
191,2011-01-29 04:00:00
257,2011-02-20 00:00:00
177,2011-01-28 14:00:00
130,2011-01-25 14:00:00
93,2011-01-23 23:00:00
75,2011-01-23 05:00:00
87,2011-01-23 17:00:00
57,2011-01-22 10:00:00
53,2011-01-22 06:00:00
37,2011-01-21 13:00:00
36,2011-01-21 12:00:00
16,2011-01-20 16:00:00
5,2011-01-20 05:00:00
4,2011-01-20 04:00:00
4,2011-01-20 04:00:00
10,2011-01-20 10:00:00
55,2011-01-22 08:00:00
81,2011-01-23 11:00:00
150,2011-01-26 12:00:00
202,2011-01-29 16:00:00
230,2011-01-30 21:00:00
263,2011-02-20 07:00:00
281,2011-02-21 01:00:00
297,2011-02-21 17:00:00
288,2011-02-21 08:00:00
236,2011-01-31 03:00:00
240,2011-01-31 07:00:00
131,2011-01-25 15:00:00
92,2011-01-23 22:00:00
95,2011-01-24 01:00:00
57,2011-01-22 10:00:00
32,2011-01-21 08:00:00
23,2011-01-20 23:00:00
4,2011-01-20 04:00:00
9,2011-01-20 09:00:00
1,2011-01-20 01:00:00
13,2011-01-20 13:00:00
61,2011-01-22 14:00:00
176,2011-01-28 13:00:00
314,2011-02-22 16:00:00
165,2011-01-28 01:00:00
96,2011-01-24 03:00:00
104,2011-01-24 11:00:00
134,2011-01-25 18:00:00
139,2011-01-25 23:00:00
145,2011-01-26 07:00:00
141,2011-01-26 01:00:00
235,2011-01-31 02:00:00
452,2011-02-28 16:00:00
383,2011-02-25 16:00:00
284,2011-02-21 04:00:00
166,2011-01-28 02:00:00
158,2011-01-27 18:00:00
91,2011-01-23 21:00:00
54,2011-01-22 07:00:00
24,2011-01-21 00:00:00
13,2011-01-20 13:00:00
14,2011-01-20 14:00:00
1,2011-01-20 01:00:00
6,2011-01-20 06:00:00
16,2011-01-20 16:00:00
58,2011-01-22 11:00:00
189,2011-01-29 02:00:00
226,2011-01-30 17:00:00
54,2011-01-22 07:00:00
40,2011-01-21 16:00:00
49,2011-01-22 01:00:00
92,2011-01-23 22:00:00
106,2011-01-24 13:00:00
44,2011-01-21 20:00:00
78,2011-01-23 08:00:00
99,2011-01-24 06:00:00
291,2011-02-21 11:00:00
224,2011-01-30 15:00:00
130,2011-01-25 14:00:00
103,2011-01-24 10:00:00
84,2011-01-23 14:00:00
54,2011-01-22 07:00:00
39,2011-01-21 15:00:00
15,2011-01-20 15:00:00
1,2011-01-20 01:00:00
2,2011-01-20 02:00:00
2,2011-01-20 02:00:00
3,2011-01-20 03:00:00
5,2011-01-20 05:00:00
34,2011-01-21 10:00:00
70,2011-01-22 23:00:00
164,2011-01-28 00:00:00
65,2011-01-22 18:00:00
46,2011-01-21 22:00:00
61,2011-01-22 14:00:00
95,2011-01-24 01:00:00
61,2011-01-22 14:00:00
106,2011-01-24 13:00:00
81,2011-01-23 11:00:00
142,2011-01-26 02:00:00
309,2011-02-22 11:00:00
321,2011-02-22 23:00:00
175,2011-01-28 12:00:00
126,2011-01-25 10:00:00
117,2011-01-25 00:00:00
99,2011-01-24 06:00:00
62,2011-01-22 15:00:00
21,2011-01-20 21:00:00
10,2011-01-20 10:00:00
3,2011-01-20 03:00:00
2,2011-01-20 02:00:00
9,2011-01-20 09:00:00
14,2011-01-20 14:00:00
70,2011-01-22 23:00:00
193,2011-01-29 07:00:00
337,2011-02-23 16:00:00
170,2011-01-28 07:00:00
89,2011-01-23 19:00:00
115,2011-01-24 22:00:00
145,2011-01-26 07:00:00
159,2011-01-27 19:00:00
137,2011-01-25 21:00:00
142,2011-01-26 02:00:00
202,2011-01-29 16:00:00
388,2011-02-25 21:00:00
337,2011-02-23 16:00:00
259,2011-02-20 02:00:00
169,2011-01-28 06:00:00
145,2011-01-26 07:00:00
104,2011-01-24 11:00:00
47,2011-01-21 23:00:00
27,2011-01-21 03:00:00
15,2011-01-20 15:00:00
18,2011-01-20 18:00:00
3,2011-01-20 03:00:00
3,2011-01-20 03:00:00
13,2011-01-20 13:00:00
47,2011-01-21 23:00:00
149,2011-01-26 11:00:00
300,2011-02-21 20:00:00
178,2011-01-28 15:00:00
122,2011-01-25 06:00:00
136,2011-01-25 20:00:00
200,2011-01-29 14:00:00
180,2011-01-28 17:00:00
163,2011-01-27 23:00:00
162,2011-01-27 22:00:00
243,2011-01-31 10:00:00
331,2011-02-23 10:00:00
263,2011-02-20 07:00:00
209,2011-01-29 23:00:00
118,2011-01-25 01:00:00
102,2011-01-24 09:00:00
80,2011-01-23 10:00:00
64,2011-01-22 17:00:00
43,2011-01-21 19:00:00
33,2011-01-21 09:00:00
24,2011-01-21 00:00:00
14,2011-01-20 14:00:00
5,2011-01-20 05:00:00
4,2011-01-20 04:00:00
10,2011-01-20 10:00:00
21,2011-01-20 21:00:00
45,2011-01-21 21:00:00
29,2011-01-21 05:00:00
22,2011-01-20 22:00:00
31,2011-01-21 07:00:00
32,2011-01-21 08:00:00
58,2011-01-22 11:00:00
63,2011-01-22 16:00:00
78,2011-01-23 08:00:00
33,2011-01-21 09:00:00
15,2011-01-20 15:00:00
38,2011-01-21 14:00:00
71,2011-01-23 00:00:00
53,2011-01-22 06:00:00
14,2011-01-20 14:00:00
24,2011-01-21 00:00:00
35,2011-01-21 11:00:00
33,2011-01-21 09:00:00
31,2011-01-21 07:00:00
29,2011-01-21 05:00:00
25,2011-01-21 01:00:00
7,2011-01-20 07:00:00
3,2011-01-20 03:00:00
8,2011-01-20 08:00:00
16,2011-01-20 16:00:00
43,2011-01-21 19:00:00
102,2011-01-24 09:00:00
211,2011-01-30 01:00:00
304,2011-02-22 06:00:00
354,2011-02-24 10:00:00
343,2011-02-23 22:00:00
361,2011-02-24 17:00:00
388,2011-02-25 21:00:00
343,2011-02-23 22:00:00
306,2011-02-22 08:00:00
277,2011-02-20 21:00:00
210,2011-01-30 00:00:00
141,2011-01-26 01:00:00
83,2011-01-23 13:00:00
70,2011-01-22 23:00:00
56,2011-01-22 09:00:00
39,2011-01-21 15:00:00
19,2011-01-20 19:00:00
16,2011-01-20 16:00:00
7,2011-01-20 07:00:00
6,2011-01-20 06:00:00
16,2011-01-20 16:00:00
54,2011-01-22 07:00:00
168,2011-01-28 05:00:00
297,2011-02-21 17:00:00
169,2011-01-28 06:00:00
109,2011-01-24 16:00:00
123,2011-01-25 07:00:00
184,2011-01-28 21:00:00
169,2011-01-28 06:00:00
144,2011-01-26 06:00:00
176,2011-01-28 13:00:00
205,2011-01-29 19:00:00
428,2011-02-27 14:00:00
362,2011-02-24 18:00:00
286,2011-02-21 06:00:00
165,2011-01-28 01:00:00
151,2011-01-26 13:00:00
90,2011-01-23 20:00:00
46,2011-01-21 22:00:00
25,2011-01-21 01:00:00
7,2011-01-20 07:00:00
13,2011-01-20 13:00:00
3,2011-01-20 03:00:00
5,2011-01-20 05:00:00
18,2011-01-20 18:00:00
65,2011-01-22 18:00:00
188,2011-01-29 01:00:00
351,2011-02-24 07:00:00
162,2011-01-27 22:00:00
75,2011-01-23 05:00:00
72,2011-01-23 01:00:00
103,2011-01-24 10:00:00
129,2011-01-25 13:00:00
107,2011-01-24 14:00:00
127,2011-01-25 11:00:00
192,2011-01-29 06:00:00
411,2011-02-26 20:00:00
421,2011-02-27 07:00:00
276,2011-02-20 20:00:00
168,2011-01-28 05:00:00
122,2011-01-25 06:00:00
112,2011-01-24 19:00:00
52,2011-01-22 04:00:00
96,2011-01-24 03:00:00
59,2011-01-22 12:00:00
50,2011-01-22 02:00:00
23,2011-01-20 23:00:00
17,2011-01-20 17:00:00
10,2011-01-20 10:00:00
13,2011-01-20 13:00:00
33,2011-01-21 09:00:00
59,2011-01-22 12:00:00
141,2011-01-26 01:00:00
264,2011-02-20 08:00:00
250,2011-01-31 17:00:00
281,2011-02-21 01:00:00
332,2011-02-23 11:00:00
238,2011-01-31 05:00:00
266,2011-02-20 10:00:00
214,2011-01-30 04:00:00
196,2011-01-29 10:00:00
159,2011-01-27 19:00:00
178,2011-01-28 15:00:00
121,2011-01-25 05:00:00
105,2011-01-24 12:00:00
100,2011-01-24 07:00:00
146,2011-01-26 08:00:00
177,2011-01-28 14:00:00
114,2011-01-24 21:00:00
35,2011-01-21 11:00:00
16,2011-01-20 16:00:00
17,2011-01-20 17:00:00
20,2011-01-20 20:00:00
62,2011-01-22 15:00:00
209,2011-01-29 23:00:00
371,2011-02-25 03:00:00
172,2011-01-28 09:00:00
108,2011-01-24 15:00:00
130,2011-01-25 14:00:00
187,2011-01-29 00:00:00
170,2011-01-28 07:00:00
181,2011-01-28 18:00:00
155,2011-01-26 17:00:00
269,2011-02-20 13:00:00
537,2011-03-23 07:00:00
518,2011-03-22 11:00:00
314,2011-02-22 16:00:00
218,2011-01-30 09:00:00
232,2011-01-30 23:00:00
125,2011-01-25 09:00:00
64,2011-01-22 17:00:00
16,2011-01-20 16:00:00
14,2011-01-20 14:00:00
5,2011-01-20 05:00:00
2,2011-01-20 02:00:00
4,2011-01-20 04:00:00
14,2011-01-20 14:00:00
109,2011-01-24 16:00:00
265,2011-02-20 09:00:00
459,2011-02-28 23:00:00
186,2011-01-28 23:00:00
127,2011-01-25 11:00:00
140,2011-01-26 00:00:00
217,2011-01-30 08:00:00
194,2011-01-29 08:00:00
158,2011-01-27 18:00:00
154,2011-01-26 16:00:00
271,2011-02-20 15:00:00
517,2011-03-22 10:00:00
544,2011-03-23 14:00:00
365,2011-02-24 21:00:00
290,2011-02-21 10:00:00
225,2011-01-30 16:00:00
113,2011-01-24 20:00:00
62,2011-01-22 15:00:00
27,2011-01-21 03:00:00
7,2011-01-20 07:00:00
4,2011-01-20 04:00:00
1,2011-01-20 01:00:00
3,2011-01-20 03:00:00
9,2011-01-20 09:00:00
21,2011-01-20 21:00:00
52,2011-01-22 04:00:00
79,2011-01-23 09:00:00
40,2011-01-21 16:00:00
31,2011-01-21 07:00:00
72,2011-01-23 01:00:00
124,2011-01-25 08:00:00
143,2011-01-26 05:00:00
